date,time,open,high,low,close,vwap,volume,count
2021-09-24 05:46:00,1632462360,460.69,460.69,460.69,460.69,0.0,0.0,0
2021-09-24 05:47:00,1632462420,460.69,460.69,460.69,460.69,0.0,0.0,0
2021-09-24 05:48:00,1632462480,460.69,460.69,460.69,460.69,0.0,0.0,0
2021-09-24 05:49:00,1632462540,460.69,460.69,460.69,460.69,0.0,0.0,0
2021-09-24 05:50:00,1632462600,461.8,461.8,461.8,461.8,461.8,0.34666153,1
2021-09-24 05:51:00,1632462660,461.38,461.38,461.38,461.38,461.38,0.01999551,1
2021-09-24 05:52:00,1632462720,461.38,461.38,461.38,461.38,0.0,0.0,0
2021-09-24 05:53:00,1632462780,460.88,460.88,460.88,460.88,460.88,0.021694799999999997,1
2021-09-24 05:54:00,1632462840,461.1,461.1,461.1,461.1,461.1,0.04305137,1
2021-09-24 05:55:00,1632462900,461.1,461.1,461.1,461.1,0.0,0.0,0
2021-09-24 05:56:00,1632462960,461.1,461.1,461.1,461.1,0.0,0.0,0
2021-09-24 05:57:00,1632463020,461.27,461.27,461.27,461.27,461.27,0.20507649,1
2021-09-24 05:58:00,1632463080,461.3,461.3,461.3,461.3,461.3,0.04302617,1
2021-09-24 05:59:00,1632463140,461.3,461.3,461.3,461.3,0.0,0.0,0
2021-09-24 06:00:00,1632463200,461.3,461.3,461.3,461.3,0.0,0.0,0
2021-09-24 06:01:00,1632463260,461.3,461.3,461.3,461.3,0.0,0.0,0
2021-09-24 06:02:00,1632463320,461.3,461.3,461.3,461.3,0.0,0.0,0
2021-09-24 06:03:00,1632463380,461.3,461.3,461.3,461.3,0.0,0.0,0
2021-09-24 06:04:00,1632463440,461.3,461.3,461.3,461.3,0.0,0.0,0
2021-09-24 06:05:00,1632463500,461.3,461.3,461.3,461.3,0.0,0.0,0
2021-09-24 06:06:00,1632463560,461.3,461.3,461.3,461.3,0.0,0.0,0
2021-09-24 06:07:00,1632463620,461.3,461.3,461.3,461.3,0.0,0.0,0
2021-09-24 06:08:00,1632463680,461.3,461.3,461.3,461.3,0.0,0.0,0
2021-09-24 06:09:00,1632463740,461.3,461.3,461.3,461.3,0.0,0.0,0
2021-09-24 06:10:00,1632463800,461.3,461.3,461.3,461.3,0.0,0.0,0
2021-09-24 06:11:00,1632463860,461.3,461.3,461.3,461.3,0.0,0.0,0
2021-09-24 06:12:00,1632463920,461.3,461.3,461.3,461.3,0.0,0.0,0
2021-09-24 06:13:00,1632463980,461.3,461.3,461.3,461.3,0.0,0.0,0
2021-09-24 06:14:00,1632464040,462.4,462.4,462.4,462.4,462.4,0.09659383,1
2021-09-24 06:15:00,1632464100,462.4,462.4,462.4,462.4,0.0,0.0,0
2021-09-24 06:16:00,1632464160,462.4,462.4,462.4,462.4,0.0,0.0,0
2021-09-24 06:17:00,1632464220,462.4,462.4,462.4,462.4,0.0,0.0,0
2021-09-24 06:18:00,1632464280,462.4,462.4,462.4,462.4,0.0,0.0,0
2021-09-24 06:19:00,1632464340,462.4,462.4,462.4,462.4,0.0,0.0,0
2021-09-24 06:20:00,1632464400,462.4,462.4,462.4,462.4,0.0,0.0,0
2021-09-24 06:21:00,1632464460,462.4,462.4,462.4,462.4,0.0,0.0,0
2021-09-24 06:22:00,1632464520,462.4,462.4,462.4,462.4,0.0,0.0,0
2021-09-24 06:23:00,1632464580,462.4,462.4,462.4,462.4,0.0,0.0,0
2021-09-24 06:24:00,1632464640,462.4,462.4,462.4,462.4,0.0,0.0,0
2021-09-24 06:25:00,1632464700,462.4,462.4,462.4,462.4,0.0,0.0,0
2021-09-24 06:26:00,1632464760,462.4,462.4,462.4,462.4,0.0,0.0,0
2021-09-24 06:27:00,1632464820,463.33,463.33,463.33,463.33,463.33,0.02569494,1
2021-09-24 06:28:00,1632464880,463.33,463.33,463.33,463.33,0.0,0.0,0
2021-09-24 06:29:00,1632464940,463.18,463.18,463.18,463.18,463.18,1.2392135,1
2021-09-24 06:30:00,1632465000,463.18,463.18,463.18,463.18,0.0,0.0,0
2021-09-24 06:31:00,1632465060,462.68,462.68,462.68,462.68,462.68,1.33649508,2
2021-09-24 06:32:00,1632465120,462.68,462.68,462.68,462.68,0.0,0.0,0
2021-09-24 06:33:00,1632465180,462.68,462.68,462.68,462.68,0.0,0.0,0
2021-09-24 06:34:00,1632465240,462.68,462.68,462.68,462.68,0.0,0.0,0
